time,students,temperature,appliances,humidity,day_of_week,is_weekend,num_classes,random_noise,building_color_code,id_number,energy
3,270,18.03,8,35.27,0,0,6,-0.62,523.51,75.27,890.26
13,104,31.27,29,22.29,0,0,4,0.02,700.98,76.71,1020.5
15,107,33.6,49,38.15,4,0,7,-0.73,275.44,77.12,1188.53
14,372,29.6,46,61.67,4,0,4,-1.54,629.65,80.03,1489.91
7,408,39.02,29,23.21,6,1,2,0.92,712.23,80.75,1247.23
13,225,24.3,22,54.7,2,0,7,0.51,595.83,80.81,1042.18
22,330,22.31,44,61.99,5,1,8,2.29,293.49,83.72,1226.24
7,163,36.78,12,43.15,1,0,2,-1.04,704.03,83.73,856.66
20,336,20.55,43,74.39,3,0,5,-0.19,680.35,83.27,1281.21
15,480,39.07,44,27.29,6,1,1,-0.13,945.56,84.11,1539.04
12,391,15.29,18,25.25,2,0,7,0.99,953.76,85.2,1061.28
17,201,39.45,36,71.29,4,0,8,-0.5,616.1,86,1310.28
14,499,16.08,42,54.53,3,0,6,-1.15,612.55,86.6,1506.57
20,176,37.26,37,68.1,4,0,5,1.2,122.23,89.72,1253.62
23,204,28.19,27,50.13,3,0,6,-0.33,210.23,88.52,1140.2
12,433,39.76,19,37.55,1,0,2,0.88,157.78,92.82,1443.32
8,323,16.8,37,77.62,2,0,1,0.77,165.41,92.56,1127.88
14,153,28.81,29,75.76,3,0,7,-0.04,941.91,92.88,1140.88
12,466,39.19,21,68.49,5,1,7,-0.18,193.88,94.39,1659.37
0,444,28.13,37,39.15,6,1,2,-0.38,247,95.86,1277.94
6,347,30.82,6,61.78,0,0,2,-0.01,980.19,95.4,1056.08
8,296,32.29,18,45.22,5,1,1,0.86,535.54,96.49,912.26
23,224,26.34,44,26.19,5,1,8,-0.79,737.43,99.21,1167.4
0,86,30.74,44,84.51,6,1,8,0.11,777.75,98.89,963.79
11,220,29.57,43,29.27,0,0,1,-1.12,192.47,99.73,1121.37
7,294,37.36,10,86.73,5,1,8,-0.99,687.96,101.27,1174.76
23,74,16.19,10,51.61,3,0,9,-0.03,441.57,102.54,622.54
10,407,22.03,7,33,3,0,4,-1.98,393.31,103.41,1077.9
18,355,38.93,11,58.09,3,0,1,2.06,666.57,104.15,1306.79
16,458,37.29,12,81.18,0,0,1,-1.18,751.93,105.64,1394.54
7,456,26.37,46,71.21,5,1,3,-0.02,706.53,105.71,1416.52
2,61,30.5,19,76.29,0,0,5,1.19,808.92,106.67,730.64
2,365,21.93,33,66.22,3,0,5,-0.85,338.08,106.45,1158.65
0,440,19.63,37,68.51,6,1,9,-2.3,927.95,109.03,1421.3
4,362,26.6,34,79.42,5,1,2,-0.43,661.59,111.43,1190.04
9,85,23.89,43,37.66,5,1,2,-0.88,129.14,109.84,814.16
6,222,29.65,31,54.45,4,0,6,-2.25,487.65,111.31,1226.25
8,68,16.97,40,35.6,4,0,9,0.27,380.84,112.25,942.02
6,369,39.37,33,88.82,1,0,1,0.19,632.65,113.16,1408.35
8,313,39.64,42,86.05,2,0,9,1.13,255.56,115.37,1604.75
7,449,32.37,37,22.38,4,0,9,-1.11,484.98,116.23,1519.71
11,190,28.23,41,69.35,0,0,9,-1.61,166.99,117.18,1228.71
1,419,22.78,31,84.83,4,0,5,-0.41,975.87,117.57,1395.47
0,192,35.4,37,32.67,1,0,9,-0.1,979.79,119.07,1133.42
15,139,32.05,8,59.82,5,1,4,0.93,309.47,120.41,642.72
22,403,19.14,26,83.89,1,0,2,1.42,750.02,120.5,1267.29
22,371,37.81,6,22.17,5,1,6,1.22,476.79,122.33,1138.47
23,336,35.47,14,68.85,6,1,4,0.27,845.04,124.69,1294.69
4,263,38.68,9,40.36,6,1,6,0.8,308.82,123.89,947.11
2,497,33.13,14,84.8,5,1,3,-0.64,180.03,124.77,1361.12
11,390,30.3,37,88.02,2,0,6,0.17,822.83,124.31,1525.01
7,99,25.33,42,85.92,4,0,2,-1.18,723.81,126.18,1065.31
21,200,38.36,17,53.19,0,0,2,0.07,698.15,127.27,1144.97
2,234,36.68,35,80.4,0,0,9,0.08,881.77,128.63,1417.05
0,112,16.16,40,79.24,3,0,7,1.71,482.96,130.24,840.09
2,240,15.79,49,42.15,5,1,3,-0.23,780.54,130.48,972.85
4,173,24.43,28,78.11,0,0,1,0.1,155.36,130.9,971.18
14,199,35.4,19,22.93,2,0,8,0.24,893.55,131.91,1103.27
13,360,39.52,33,61.86,5,1,6,-0.46,124.97,133.19,1454.72
2,107,18.8,12,36.25,2,0,7,-0.78,980.9,134.52,670.18
0,391,29.72,9,28.37,0,0,9,1.29,548.61,135.83,1150.46
4,352,24.72,33,25.77,0,0,5,-1,165.92,137.08,1104.97
22,231,39.25,8,68.54,3,0,1,-1.31,863.94,137.19,1032.42
13,219,36.12,16,43.63,0,0,7,0.68,353.18,140.87,1274.19
6,376,35.93,49,70.87,5,1,5,1.17,1000.63,139.94,1455.51
8,320,26.63,6,24.13,6,1,3,-0.45,142.58,142.08,725.63
14,103,25.34,31,41.69,5,1,9,-0.42,193.18,141.32,934.8
14,494,21.82,35,57.62,5,1,1,0.28,654.53,141.91,1392.92
9,150,16.5,40,75.74,3,0,1,-0.69,326.7,144.32,1006.23
12,314,36.59,40,42.18,3,0,1,-0.78,872.26,145.94,1349.54
18,100,35.21,30,63.93,0,0,3,0.87,777.2,145.35,1074.63
6,111,40.01,47,81.99,1,0,6,0.59,532.82,146.48,1361.72
16,159,39.82,31,62.99,1,0,3,1.31,890.87,148.68,1100.99
19,54,28.89,9,36.31,3,0,8,-1.26,698.64,149.23,706.05
3,154,34.23,24,21.74,0,0,2,-0.5,479.21,150.27,794.79
4,245,38.69,15,81.36,1,0,9,0.27,275.52,150.49,1221.74
22,311,36.23,14,21.21,0,0,3,-0.93,523.69,152.38,1237.49
6,413,21.14,44,81.21,0,0,5,0.63,805.46,152.33,1509.35
12,421,26.28,42,56.98,0,0,8,1.21,405.02,153.66,1593.46
14,399,18.22,10,86,4,0,2,-0.58,877.71,155.02,1033.69
10,96,38.91,12,75.7,5,1,6,0.04,605.58,156.03,813.64
3,405,30.24,27,89.49,0,0,5,1.46,367.86,157.42,1305.35
12,359,20.85,30,44.49,4,0,9,1.8,682.98,158.6,1382.89
6,470,31.82,47,73.73,3,0,5,0.75,108.74,158.87,1773.94
18,358,30.52,16,47.97,1,0,2,0.59,609.5,159.29,1243.05
21,194,23.94,30,53.84,5,1,5,-0.85,572.65,162.8,924.53
1,319,17.78,17,64.04,6,1,4,0.36,397.88,161.15,997.78
9,419,31.89,44,81.47,1,0,7,0.56,267.79,163.24,1630.48
12,173,28,22,88.76,5,1,6,-0.2,583.17,163.97,904.02
20,155,34.32,29,73.72,6,1,2,-0.62,696.21,164.94,936.25
5,206,28.11,37,49.4,1,0,5,-1.3,172.83,164.95,1086.55
11,196,36.17,44,49.49,5,1,7,-1.74,664.41,168.21,1201.08
11,195,28.65,47,71.41,1,0,7,-1.92,655.73,167.89,1284.31
19,171,29.14,16,36.55,1,0,5,0.57,338.8,169.66,854.75
10,368,36.82,48,27.84,6,1,9,0.13,200.71,170.97,1565.81
22,325,24.94,40,44.74,1,0,4,-0.48,308.91,171.82,1325.57
6,141,18.3,8,40,1,0,3,-0.34,651.75,172.12,586.71
0,110,15.82,9,40.67,6,1,4,0.21,928.55,172.74,516.5
0,488,33.85,41,36.3,3,0,5,-0.16,567.02,174.31,1500.53
19,397,30.57,12,22.76,0,0,6,-1.34,554.98,174.05,1155.9
12,278,32.56,46,21.56,2,0,3,0.91,360.22,174.7,1346.73
8,166,20.25,32,89.26,4,0,2,0.29,485.67,177.39,1078.89
2,365,18.44,35,49.67,2,0,4,0.28,874.97,178,1177.01
6,329,15.44,13,46.61,2,0,5,0.83,945.77,178.34,972.27
5,172,23.75,33,67.67,5,1,4,-0.81,481.35,180.82,833.2
7,441,29.92,18,35.05,0,0,3,1.21,974.72,181.65,1271.54
8,444,24.83,44,86.7,5,1,8,-0.14,357.67,180.17,1511.26
4,176,25.92,45,74.99,0,0,4,0.88,382.98,183.67,1129.81
0,105,37.56,26,26.42,6,1,2,0.74,726.26,183.48,761.03
18,172,23.7,15,49.2,6,1,2,-1.05,974.44,186.4,674.27
9,50,27.85,27,81.62,0,0,1,0.5,140.53,187.33,775.41
11,285,34.52,5,85.95,1,0,4,0.31,587.88,188.12,1014.9
23,340,24.77,41,53.06,3,0,9,0.05,317.33,187.24,1465.59
14,144,30.47,25,62.92,1,0,7,-0.11,231.08,188.72,1052.05
21,174,36.45,30,31.51,3,0,7,-0.09,617.69,189.42,1191.98
23,167,38.77,40,89.29,5,1,7,0.81,711.96,190.29,1304.2
8,99,18.61,27,35.64,3,0,8,0.57,988.63,193,876.2
19,138,38.12,5,85.85,5,1,1,0.02,781.65,191.38,726.03
16,287,27.46,44,65.52,6,1,8,-1.51,719.86,194.62,1232.39
16,420,21.47,19,62.43,2,0,4,0.5,705.04,192.95,1319.62
19,433,26.45,25,56.05,6,1,4,0.73,359.57,196.45,1179.12
11,322,39.45,13,36.16,6,1,4,2.31,463.8,196.7,1099.72
6,237,27.41,13,32.25,2,0,6,1.09,860.64,197.95,881.2
1,241,23.23,14,35.63,3,0,7,-1.88,884.76,199.2,1020.06
2,496,30.78,30,33.21,3,0,6,0.1,643.57,200.45,1499.97
16,118,21.1,45,74.59,5,1,1,1.83,745.14,200.96,885.8
4,327,16.95,39,44.91,1,0,8,0.63,620.55,202.37,1315.41
16,397,18.4,29,23.83,5,1,7,0.33,912.93,204.38,1112.02
23,295,18.26,30,87.85,1,0,6,0.89,987.05,204.04,1224.22
16,124,18.88,15,81.7,6,1,6,-0.62,115.99,205.79,683.34
16,204,18.49,42,85.04,2,0,5,0.48,228.47,206.4,1121.31
1,194,31.12,6,89.54,6,1,6,-0.25,674.51,207.2,856.55
1,484,19.67,11,32.08,0,0,9,-0.03,210.4,208.84,1294
21,134,23.51,22,47.74,3,0,9,0.82,985.61,207.66,1050.68
22,232,37.38,31,73.29,1,0,8,-0.95,631.69,208.49,1278.3
4,333,26.95,38,68.58,5,1,9,1.28,772.26,210.27,1303.21
0,267,31.67,31,30.8,2,0,8,-0.42,365.91,212.73,1124.98
0,120,19.36,21,77.23,1,0,8,0.26,261.6,211.96,841.62
18,96,20.03,47,35.43,5,1,1,-1.39,356.2,213.05,939.62
1,144,16.01,48,35.76,3,0,5,0.73,200,215.41,948.19
20,284,19.25,28,57.65,6,1,4,1.44,600.7,215.35,1095.14
11,495,21.93,29,61.8,3,0,2,-0.51,834.83,217.06,1525.45
5,252,19.48,11,60.41,4,0,8,-1.09,669.64,218.66,1040.03
22,450,17.17,10,26.14,0,0,3,0.28,346.19,218.75,1119.98
3,269,18.09,28,81.28,4,0,4,1.48,744.34,221.49,980.75
22,479,26.52,37,38.51,2,0,7,-1.46,896.85,222.23,1609.84
10,390,20.1,33,29.14,1,0,9,-1.11,935.8,221.43,1300.62
23,89,24.25,47,82.33,2,0,2,-0.46,629.28,223.47,973.95
16,149,27.64,26,86.76,6,1,3,-0.83,232.18,223.75,939.45
5,336,32.23,30,80.45,5,1,4,-0.82,450.17,224.71,1249.46
23,302,16.1,32,76.73,3,0,1,-2.09,295.83,226.51,1261.92
4,270,35.07,25,66.22,4,0,7,0.58,896.06,226.69,1224.74
19,406,30.72,11,58.6,4,0,2,0.32,769.01,227.1,1269.69
1,71,17.04,21,25.95,6,1,5,-1.69,479.71,227.86,464.28
5,297,36.9,24,48.53,4,0,1,1.44,745.92,229.87,1202.75
21,61,38.02,45,46.06,6,1,3,1.68,324.17,229.84,977.42
10,295,16.51,24,38.2,2,0,2,-0.76,803.11,232.29,898.86
15,376,22.02,26,70.48,3,0,1,1.16,571.89,233.19,1224.9
15,152,34.99,32,54.66,1,0,7,-0.57,576.26,234.17,1181.96
0,338,33.67,44,25.9,5,1,5,0.17,366.09,234.7,1258.6
8,229,19.63,11,35.55,1,0,1,-0.81,473.85,235.39,821.72
5,270,20.23,5,67.9,2,0,6,2.22,581.56,236.53,843.85
15,441,24.28,36,25.36,5,1,5,-0.3,535.29,237,1267.45
2,299,27.06,17,79.45,4,0,3,0.12,744.86,238.42,1125.65
19,194,30.4,34,54.74,0,0,7,-0.69,313.12,239.95,1167.12
3,491,24.23,27,53.3,2,0,9,1.87,671.33,241.77,1510.38
18,146,26.55,23,61.71,2,0,9,1.89,474.69,242.28,914.02
2,308,33.74,36,77.72,3,0,9,1.62,489.36,243.1,1594.41
18,373,15.75,34,44.51,1,0,2,0.95,550.78,243.1,1195.78
19,51,21.38,33,67.23,2,0,3,-0.62,460.63,245.06,920.99
6,64,32.83,49,59.6,2,0,7,0.82,979.64,245.5,1087.08
19,328,37.13,33,38.7,4,0,5,0.01,555.48,246.52,1430.78
8,384,27.87,34,81.6,4,0,2,1.31,821.07,249.15,1455.35
0,295,28.29,20,75.93,5,1,3,1.12,829.62,248.98,1066.79
7,306,17.72,44,66.39,6,1,6,-0.65,324.5,249.95,1167.27
6,431,26.13,23,79.77,6,1,7,0.95,229.92,249.29,1312.02
17,211,28.3,22,80.71,0,0,9,0.67,687.31,251.49,1262.48
7,390,20.99,5,69.61,6,1,1,-2.77,577.19,252.86,1067.12
0,199,21.73,18,78.16,3,0,7,0.81,900.57,254.05,975.06
10,445,24.32,6,68.9,0,0,8,-0.45,372.96,253.86,1425.38
17,228,15.56,32,67.45,5,1,3,-0.88,252.05,254.89,914.88
22,213,23.15,34,63.05,4,0,4,-0.85,861.79,255.91,1196.4
9,428,20.3,42,72.88,6,1,6,-0.13,317.68,259.23,1457.83
2,80,23.13,8,30.76,1,0,7,0.49,285.98,261.22,603.83
6,466,18.15,5,81.75,4,0,4,-1.39,519.11,259.62,1149.82
15,492,37.23,12,80.49,3,0,8,0.18,772.72,261.78,1679.13
15,229,30.02,33,22.3,4,0,5,0.57,793.06,260.86,1093.39
19,476,32.03,43,78.05,3,0,1,1.87,640.39,264.76,1593.67
16,151,34.85,7,28.83,3,0,4,-1.07,143.43,265.35,802.4
1,317,27.56,36,43.26,3,0,3,-0.35,411.92,266.95,1160.16
0,369,17.09,14,72.43,5,1,9,0.27,438.41,263.4,1116.98
15,115,28.38,14,31.11,3,0,8,1.15,411.66,267.2,890.69
11,467,29.53,23,77.19,3,0,1,-0.29,172.4,268.7,1452.97
4,218,33.64,38,78.41,1,0,6,1.2,379.14,267.82,1287.99
4,381,25.85,37,55.56,0,0,9,-1.95,275.38,269.17,1399
22,94,18.27,27,20.36,2,0,7,-1.24,993.3,269.58,872.5
8,91,22.11,32,40.15,0,0,4,0.34,761.5,270.74,888
8,335,24.04,36,63.64,3,0,1,-1.41,370.96,274.2,1250.65
2,444,31.23,11,88.49,1,0,2,-1.16,934.88,273.02,1323.53
18,61,29.26,33,64.13,4,0,5,-0.52,716.39,274.41,926.35
15,144,23.77,12,38.37,1,0,5,0.76,750.13,276.04,813
15,351,39.59,5,64.48,3,0,8,-1.9,960.81,277.88,1279.13
2,435,30.23,7,57.34,1,0,6,0.16,885.28,279.09,1248.7
19,302,20.93,28,74.32,6,1,8,1.03,955.3,278.35,1090.47
23,291,17.5,27,27.21,1,0,2,-0.2,389.75,280.96,938.92
21,82,18.88,12,73.13,3,0,3,-0.36,822.21,281.26,707.86
23,266,21.22,41,58.17,5,1,6,0.39,991.64,282.71,1152.63
0,384,18.9,7,87.49,6,1,3,-0.19,372.33,282.02,965.35
23,139,19.64,37,43.88,1,0,6,1.37,162.91,283.11,1013.01
19,312,22.26,32,64.26,2,0,6,-1.1,580.97,285.14,1295.9
10,143,19.4,12,85.02,2,0,2,-0.05,347.04,285.2,800.49
16,461,37.51,38,26.95,1,0,7,0.21,247.94,286.36,1608.14
7,140,17.05,39,85.78,5,1,2,-0.36,143.06,287.34,825.19
3,468,28.09,36,68.42,4,0,6,-2.86,559,289.19,1622.93
5,161,25.38,28,24.8,3,0,1,-0.16,299.8,290.35,818.89
7,155,39.51,18,40.99,2,0,3,0.9,761.25,290.62,935.54
19,440,17.79,36,69.31,4,0,2,0.78,221.99,291.41,1403.7
2,246,25.03,47,24.96,1,0,7,0.36,97.16,293.34,1181.16
15,364,39.11,20,60.86,4,0,4,-1.1,864.04,294.32,1327.72
2,162,36.76,8,44.49,6,1,8,0.4,955.5,293.78,773.8
17,126,35.56,41,63.64,0,0,6,-0.57,740.79,297.18,1150.75
13,464,21.57,25,23.11,2,0,4,0.35,287.47,297.79,1347.68
17,426,19.32,18,81.04,1,0,5,0.12,678.66,298.65,1282.02
1,471,31.63,35,88.25,3,0,9,-0.97,618.46,298.41,1655.28
21,266,38.31,22,88.05,5,1,7,-0.88,542.27,299.41,1315.78
6,212,35.1,19,21.18,3,0,7,-0.94,263.53,2.7,919.08
19,255,21.99,15,25.94,2,0,2,0.09,321.3,2.5,924.95
14,495,19.35,12,34.75,2,0,7,1.57,373.18,3.53,1371.84
10,217,33.88,30,21.65,3,0,5,-0.31,731.25,4.23,1017.28
7,211,35.12,49,32.68,4,0,5,1.3,952.15,5.83,1300.45
20,116,39.79,48,60.55,3,0,6,-1.21,500.63,6.61,1338.24
6,338,25.29,9,50.01,6,1,9,-0.53,287.94,5.38,972.22
18,446,24.36,10,82.56,4,0,6,-1.41,719.64,7.45,1419.1
22,324,34.39,30,77.02,2,0,8,0.07,828.78,8.49,1513.59
10,351,23.58,8,43.85,0,0,7,0.79,307.78,10.06,1147.79
10,454,38.4,23,38.19,5,1,9,0.07,679.26,12.84,1394.99
23,435,36.43,24,46.25,6,1,4,1.23,654.07,11.77,1404.51
20,440,25.88,37,61.08,6,1,2,-0.75,940.98,13.2,1274.67
3,186,33.82,24,38.97,2,0,7,0.23,912.94,13.53,902.43
7,244,33.8,16,63.56,2,0,6,-0.54,323.6,14.87,1118.03
23,450,17.63,5,48.88,1,0,1,0.36,795.58,14.66,1188.29
2,177,37.58,30,58.82,6,1,9,0.51,718.36,17.36,1099.3
21,83,27.56,18,50.63,1,0,9,0.59,694.5,17.69,926.24
20,224,35.68,42,40.64,1,0,2,-1.06,949.1,18.11,1237.25
1,492,22.94,41,86.01,5,1,3,-0.88,349.32,20.79,1374.01
23,420,37.41,15,73.58,1,0,5,-0.71,976.52,21.6,1474.17
11,422,24.68,40,29.61,4,0,5,-0.22,537.32,22.21,1441.39
5,73,15.49,17,80.72,3,0,1,0.08,637.45,22.21,575.36
1,288,37.74,47,54.13,0,0,8,0.72,295.21,24.48,1500.48
20,208,17.38,7,82.7,2,0,8,-0.85,788.72,25.11,975.14
0,86,22.94,37,75.72,4,0,4,-1.61,617.5,27.68,906.56
11,278,38.7,10,49.96,0,0,7,2.15,171.67,28.38,1235.41
21,411,38.68,14,21.32,6,1,3,-1.13,739.78,27.34,1200.52
11,98,29.39,9,39.01,6,1,6,0.85,497.06,30.93,707.35
16,487,30.83,27,57.82,6,1,9,0.04,770.72,30.51,1507.49
9,312,26.18,14,64.34,4,0,1,0.25,853.18,30.07,1057.92
15,334,22.21,48,37.88,4,0,5,-0.01,302.52,31.83,1315.23
14,76,23.31,6,29.66,2,0,4,-0.39,244.44,32.94,546.11
14,275,31.76,17,78.69,3,0,8,0.47,573.5,32.93,1259.4
18,325,33.8,44,88.87,1,0,1,-0.44,754.88,35.68,1352.31
11,337,34.68,6,56.96,6,1,9,1.18,299.88,36.65,1129.01
22,145,34.81,24,32.15,5,1,6,0.58,526.4,37.9,859.91
19,332,17.3,5,39.13,3,0,4,0.6,765.55,38.35,1010.28
2,415,27.35,41,21.57,5,1,9,-0.5,591.9,38.75,1423.22
4,499,16.65,13,84.15,2,0,5,-0.23,984.96,39.65,1250.45
18,365,28.77,21,27.9,2,0,5,-1.2,995.24,39.55,1274.34
6,353,26.06,13,60.43,2,0,5,-0.34,243.93,41.42,1197.64
20,196,37.14,15,39.42,0,0,1,-1.05,410.05,40.9,1037.82
8,52,23.79,19,58.71,5,1,1,1.31,265.24,44.41,557.1
6,83,17.88,28,65.73,3,0,8,0.06,413.3,45.18,895.45
17,242,18.54,42,78.09,3,0,8,0.17,118.52,45.62,1241.82
3,97,34.02,39,34.46,4,0,6,-0.22,180.66,46.54,1003.82
13,66,30.51,34,20.38,4,0,4,0.2,683.66,47.67,837.03
17,221,17.56,35,29.82,6,1,2,2.47,228.4,47.68,825.24
8,270,16.93,9,83.25,4,0,2,-0.27,696.4,50.07,895.52
20,208,32.48,48,81.13,2,0,9,-0.65,829.83,51.06,1485.52
1,94,16.78,18,61.66,3,0,5,0.54,403.99,51.59,753.69
19,422,35.51,15,62.09,5,1,4,-2.52,469.32,53.51,1322.73
14,55,32.63,13,66.46,2,0,1,0.06,956.73,54.47,773.26
6,149,17.02,38,32.06,0,0,7,-0.37,949.63,55.41,971.39
11,427,17.07,16,84,4,0,3,-0.99,488.23,55.88,1390.47
7,283,39.58,39,49.45,2,0,6,0.5,545.2,56.35,1272.64
14,87,24.4,39,46.79,2,0,5,0.04,524.76,56.66,908.06
2,329,24.25,5,56.34,0,0,5,-1.81,260.55,58.38,1085.47
13,401,35.46,44,23.18,1,0,5,-0.64,276.63,59.64,1488.86
16,353,38.6,26,31.95,3,0,1,-2.9,724.52,60.83,1336.9
3,229,39.72,33,72.23,5,1,1,0.3,807.34,63.23,1101.89
17,143,33.69,12,26.04,6,1,3,0.29,995.7,62.53,880.44
7,148,24.43,15,62.04,1,0,4,-0.81,587.48,63.17,761.23
3,238,17.03,45,37.4,4,0,5,0.53,424.77,64.91,1150.72
1,166,34.49,41,47.36,2,0,2,-1.3,697.11,66.57,1165.39
5,239,29.04,18,40.16,0,0,8,-0.97,387.64,66.37,998.79
21,301,25.65,34,45.02,0,0,2,0.41,690.97,69.17,1262.7
9,465,37.66,39,70.5,3,0,9,-0.69,762.34,68.97,1692.94
3,212,17.7,25,40.68,1,0,2,-0.07,669.78,69.39,827.96
21,307,27.31,41,59.58,6,1,9,-0.56,672.39,70.46,1344.29
17,371,15.33,9,53.05,3,0,7,-0.42,451.86,71.29,970.59
11,176,26.62,23,66.44,2,0,8,-0.35,131.52,70.92,1091.97
1,66,16.21,18,85.6,3,0,2,-0.7,142.52,72.59,633.32
9,327,17.93,30,71.28,5,1,7,0.29,779.91,74.15,1228.89
3,271,17.95,8,34.86,0,0,6,-0.64,523.03,75.03,891.75
13,105,31.18,29,22.48,0,0,4,0.02,701.72,75.6,1027.23
15,108,33.69,49,38.76,4,0,7,-0.74,275.02,78.92,1191.61
14,370,29.6,46,61.7,4,0,4,-1.53,631.47,78.49,1493.68
7,409,39,29,23.82,6,1,2,0.92,708.48,79.7,1247.76
13,224,24.38,22,54.83,2,0,7,0.51,597.41,79.75,1044.01
22,329,22.18,44,61.47,5,1,8,2.28,297.76,82.31,1220.57
7,164,36.62,12,43.08,1,0,2,-1.04,708.42,82.33,860.03
20,338,20.59,43,73.89,3,0,5,-0.21,676.33,84.58,1284.63
15,481,39.11,44,27.46,6,1,1,-0.12,937.86,84.41,1541.17
12,391,15.16,18,25.13,2,0,7,0.99,953.99,85.96,1058.51
17,198,39.23,36,70.92,4,0,8,-0.51,617.96,86.82,1313.78
14,497,16.1,42,54.66,3,0,6,-1.18,611.94,87.99,1505.59
20,176,37.32,37,68.24,4,0,5,1.21,121.12,88.36,1251.99
23,202,28.32,27,50.56,3,0,6,-0.32,209.91,90.1,1141.49
12,434,39.88,19,36.94,1,0,2,0.88,152.04,91.66,1445.95
8,321,16.72,37,77.16,2,0,1,0.74,163.41,91.59,1128.73
14,153,28.7,29,75.88,3,0,7,-0.03,939.43,93.46,1139.76
12,467,39.23,21,68.64,5,1,7,-0.17,198.93,93.6,1660.36
0,442,28.06,37,39.03,6,1,2,-0.38,243.22,93.68,1277.45
6,348,30.75,6,61.45,0,0,2,-0.02,977.78,95.47,1057.19
8,295,32.43,18,45.34,5,1,1,0.85,535.8,96.58,909.8
23,224,26.34,44,26.28,5,1,8,-0.8,733.86,96.99,1167.87
0,86,30.77,44,84,6,1,8,0.11,775.74,98.52,970.27
11,220,29.65,43,29.34,0,0,1,-1.12,184.29,100.12,1119.42
7,296,37.5,10,86.67,5,1,8,-0.99,687.35,100.28,1177.03
23,76,16.24,10,51.12,3,0,9,-0.02,442.67,101.42,621.07
10,401,21.91,7,32.86,3,0,4,-1.95,394.66,102.39,1081.91
18,355,38.79,11,57.85,3,0,1,2.08,670.67,103.67,1296.19
16,460,37.15,12,81.11,0,0,1,-1.2,749.61,104.45,1391.12
7,455,26.41,46,71.56,5,1,3,-0.04,710.92,105.64,1412.55
2,63,30.48,19,76.24,0,0,5,1.16,805.86,106.3,728.04
2,364,22.02,33,66.47,3,0,5,-0.86,345.45,107.84,1162
0,439,19.77,37,68.45,6,1,9,-2.3,931.86,109.1,1419.65
4,364,26.59,34,79.3,5,1,2,-0.45,658.17,110.09,1191.36
9,86,23.74,43,37.19,5,1,2,-0.87,133.14,112.8,820.07
6,225,29.73,31,54.13,4,0,6,-2.29,491,112.96,1226.74
8,68,17,40,35.66,4,0,9,0.29,375.45,113.15,937.2
6,374,39.4,33,88.91,1,0,1,0.22,629.7,114.04,1406.7
8,311,39.66,42,86.26,2,0,9,1.14,254.01,115.85,1604.11
7,450,32.47,37,22.53,4,0,9,-1.14,485.81,115.79,1520.05
11,191,28.44,41,69.11,0,0,9,-1.6,169.18,116.56,1229.38
1,422,22.75,31,84.6,4,0,5,-0.41,978.69,116.85,1402.68
0,192,35.33,37,32.6,1,0,9,-0.09,979.47,120,1134.75
15,138,32.08,8,59.63,5,1,4,0.93,314.05,120.36,641.35
22,403,19.12,26,84.17,1,0,2,1.4,756.09,120.35,1268.65
22,374,37.56,6,22.6,5,1,6,1.22,476.31,121.53,1139.4
23,337,35.54,14,68.89,6,1,4,0.27,845.92,122.67,1297.37
4,263,38.54,9,40.69,6,1,6,0.81,315.25,126.25,946.06
2,496,33.13,14,84.91,5,1,3,-0.64,178.03,124.34,1357.62
11,390,30.31,37,87.89,2,0,6,0.18,824.41,125.91,1524.09
7,101,25.44,42,86.08,4,0,2,-1.21,726.29,128.34,1061.96
21,201,38.36,17,53.34,0,0,2,0.06,703.02,127.43,1144.3
2,236,36.66,35,80.19,0,0,9,0.09,882.63,128.24,1420.55
0,111,16.02,40,79.34,3,0,7,1.74,481.45,129.33,842.99
2,239,15.66,49,42.43,5,1,3,-0.24,774.33,130.41,975.64
4,175,24.4,28,78.17,0,0,1,0.11,161.28,131.51,966.43
14,200,35.28,19,22.62,2,0,8,0.25,896.37,133.01,1104.66
13,363,39.62,33,61.69,5,1,6,-0.46,126.82,133.81,1453.34
2,110,18.72,12,35.98,2,0,7,-0.79,983.24,136.43,665.85
0,394,29.75,9,28.32,0,0,9,1.32,540.78,136.73,1145.53
4,354,24.57,33,25.05,0,0,5,-1,160.2,138.17,1108.67
22,229,39.25,8,68.69,3,0,1,-1.33,862.64,138.96,1027.18
13,218,35.99,16,43.87,0,0,7,0.69,353.55,139.93,1271.86
6,376,35.93,49,71.08,5,1,5,1.15,1001.27,138.55,1459.19
8,319,26.64,6,24.46,6,1,3,-0.43,144.63,140.21,728.66
14,103,25.4,31,41.96,5,1,9,-0.44,195,142.87,941.43
14,494,21.9,35,58.25,5,1,1,0.28,651.44,142.23,1396.38
9,150,16.29,40,75.3,3,0,1,-0.73,329.57,145.18,1005.48
12,312,36.61,40,42.45,3,0,1,-0.77,875.68,145.96,1349.05
18,102,35.25,30,63.78,0,0,3,0.88,778.75,145.94,1075.07
6,111,39.97,47,81.96,1,0,6,0.6,534.2,147.72,1365.9
16,157,39.86,31,62.99,1,0,3,1.3,892.74,147.87,1102.81
19,54,28.95,9,36.2,3,0,8,-1.25,698.49,149.77,715.4
3,151,34.15,24,21.68,0,0,2,-0.51,475,151.74,790.15
4,245,38.72,15,80.97,1,0,9,0.27,273,152.01,1223.06
